Comment,Designator,Footprint,LCSC,Quantity
JSL-PH-02,J3,JST_PH_B2B-PH-K_1x02_P2.00mm_Vertical,C131337,1
10u,"C10,C36,C38,C61,C63,C77,C79,C9,C96",C_0805_2012Metric,C15850,9
10p,C15,C_0603_1608Metric,C1634,1
TYPE-C-31-M-12,J1,HRO_TYPE-C-31-M-12,C165948,1
10n,"C13,C43,C67,C83",C_0805_2012Metric,C1710,4
1.8k,"R100,R101,R102,R103,R96,R97,R98,R99",R_0805_2012Metric,C17398,8
10k,"R24,R25,R26,R27,R80,R81,R82,R83",R_0805_2012Metric,C17414,8
16k,"R31,R50,R67,R9",R_0805_2012Metric,C17490,4
1k,"R17,R40,R61,R76,R79",R_0805_2012Metric,C17513,5
1M,"R85,R88,R91,R94",R_0805_2012Metric,C17514,4
22k,"R12,R36,R57,R72",R_0805_2012Metric,C17560,4
270k,R20,R_0805_2012Metric,C17589,1
30k,"R30,R32,R49,R51,R66,R68,R7,R8",R_0805_2012Metric,C17621,8
47k,"R13,R39,R60,R75",R_0805_2012Metric,C17713,4
500,"R23,R41,R62,R77",R_0805_2012Metric,C17734,4
63.9k,R4,R_0805_2012Metric,C17783,1
4.7u,"C1,C11,C16,C3,C37,C46,C49,C57,C62,C78",C_0805_2012Metric,C1779,10
66.7k,R1,R_0805_2012Metric,C17801,1
910,"R14,R16,R35,R38,R56,R59,R71,R74",R_0805_2012Metric,C17865,8
INA333AIDGKR,"U1,U13,U19,U8",SOP65P490X110-8N,C19450,4
1.1k,"R15,R37,R58,R73",R_0603_1608Metric,C22764,4
95k,"R11,R34,R55,R70",R_0603_1608Metric,C23265,4
2.2u,"C4,C5",C_0603_1608Metric,C23630,2
100k,"R18,R2,R21,R22,R3,R42,R43,R44,R47,R48,R52,R53,R63,R78,R84,R86,R87,R89,R90,R92,R93,R95",R_0603_1608Metric,C25803,22
MMZ2012Y152BT000,"L1,L2",L_0805_2012Metric,C275472,2
5k,"R10,R33,R54,R69",R_0805_2012Metric,C27834,4
0.1u,"C18,C19,C20,C21,C22,C23,C24,C25,C26,C29,C30,C31,C33,C34,C35,C40,C41,C44,C45,C47,C50,C51,C52,C53,C55,C58,C59,C60,C65,C66,C68,C69,C7,C70,C71,C72,C74,C75,C76,C8,C81,C82,C84,C85,C88,C89,C90,C91",C_0805_2012Metric,C28233,48
1u,"C12,C17,C2,C27,C28,C39,C42,C48,C56,C64,C80,C86,C87,C92,C93,C94,C95",C_0805_2012Metric,C28323,17
560,"R28,R29,R45,R46,R5,R6,R64,R65",R_0805_2012Metric,C28636,8
Conn_01x06_Pin,"J2,J4",PinHeader_1x06_P2.54mm_Vertical,C37208,2
ADS1115IDGSR,U3,SOP50P490X110-10N,C37593,1
OPA2333AIDR,"U10,U11,U12,U14,U15,U16,U17,U18,U2,U20,U21,U22,U5,U6,U7,U9",SOIC127P599X175-8N,C38732,16
Q_NPN_BEC,"Q1,Q2",SOT-23,C431710,2
5.6k,R19,R_0805_2012Metric,C4382,1
ESP32-WROOM-32D,U24,ESP32-WROOM-32D,C473012,1
LM27762DSSR,U4,DSS0012B,C473398,1
Conn_01x01_Pin,J5,PinHeader_1x01_P2.54mm_Vertical,C492400,1
XC6206PxxxMR,U23,SOT-23-3,C5446,1
TS-1088-AR02016,"S7,S8",SW_TS-1088-AR02016,C720477,2
LED,D1,LED_0805_2012Metric,C84256,1
CH340C,U25,SOIC-16_3.9x9.9mm_P1.27mm,C84681,1
220n,"C14,C32,C54,C6,C73",C_0805_2012Metric,C918135,5
K3-1280S-F1,"S1,S10,S11,S12,S2,S3,S4,S5,S6,S9",SW_JS102011SAQN,C92658,10
