Comment,Designator,Footprint,LCSC,Quantity
JSL-PH-02,J1,JST_PH_B2B-PH-K_1x02_P2.00mm_Vertical,C131337,1
10u,"C16,C17,C18,C19,C34,C36,C38",C_0805_2012Metric,C15850,7
10p,C33,C_0603_1608Metric,C1634,1
5k,"R36,R5",R_0603_1608Metric,C166926,2
10n,"C1,C10,C2,C40,C41,C43",C_0805_2012Metric,C1710,6
20n,"C3,C42",C_0805_2012Metric,C1726,2
25n,C8,C_0805_2012Metric,C1734,1
10k,"R43,R44,R45,R46",R_0805_2012Metric,C17414,4
11.3k,R27,R_0805_2012Metric,C17416,1
4.7n,C32,C_0805_2012Metric,C1744,1
12.1k,R26,R_0805_2012Metric,C17444,1
12.7k,R25,R_0805_2012Metric,C17455,1
180k,"R11,R9",R_0805_2012Metric,C17501,2
1M,"R12,R17,R30,R39",R_0805_2012Metric,C17514,4
220k,R8,R_0805_2012Metric,C17556,1
220,R14,R_0805_2012Metric,C17557,1
270k,"R22,R23",R_0805_2012Metric,C17589,2
301,R29,R_0805_2012Metric,C17617,1
47k,R7,R_0805_2012Metric,C17713,1
49.9k,R24,R_0805_2012Metric,C17719,1
4.7u,"C11,C15",C_0805_2012Metric,C1779,2
66.7k,R51,R_0805_2012Metric,C17801,1
67.8,R32,R_0805_2012Metric,C17802,1
INA333AIDGKR,U7,SOP65P490X110-8N,C19450,1
318.3k,"R2,R3,R33,R35",R_0603_1608Metric,C20165692,4
2.49k,R28,R_0805_2012Metric,C21237,1
95k,"R37,R6",R_0402_1005Metric,C22375098,2
159.2k,"R34,R4",R_0603_1608Metric,C22813,2
2.2u,"C13,C14",C_0603_1608Metric,C23630,2
100k,"R10,R13,R15,R16,R18,R19,R38,R40,R41,R42,R52,R54",R_0603_1608Metric,C25803,12
0.1u,"C23,C24,C25,C26,C27,C28,C29,C30,C31,C37,C47,C48,C49,C50,C51,C52,C53,C54,C55,C56,C57,C58,C7",C_0805_2012Metric,C28233,23
1u,"C12,C20,C21,C22,C39,C44,C45,C46,C9",C_0805_2012Metric,C28323,9
560,"R1,R20,R21",R_0805_2012Metric,C28636,3
63.9k,R53,R_0603_1608Metric,C2902643,1
ADS1115IDGSR,U6,SOP50P490X110-10N,C37593,1
OPA2333AIDR,"U10,U11,U12,U13,U8,U9",SOIC127P599X175-8N,C38732,6
1.5k,"R47,R48",R_0805_2012Metric,C4310,2
20.3k,R31,R_0805_2012Metric,C4328,1
23.7u,C35,C_0805_2012Metric,C45783,1
LM27762DSSR,U5,DSS0012B,C473398,1
Conn_01x20_Pin,"J4,J7",PinSocket_1x20_P2.54mm_Vertical,C50981,2
220n,"C4,C5,C6",C_0805_2012Metric,C5378,3
3362P-1-102LF,"VR1,VR2",TRIM_3362P-1-102LF,C58161,2
TL072CDR,"U2,U3,U4",SOIC127P599X175-8N,C67473,3
K3-1280S-F1,"S1,S13,S14,S15,S2,S3,S4,S5,S6,S8,S9",SW_JS102011SAQN,C92658,11
AD620ARZ-REEL7-REEL7,U1,SOIC127P599X175-8N,C9675,1
