Designator,Val,Package,Mid X,Mid Y,Rotation,Layer
C1,10n,C_0805_2012Metric,137.0025,-48.22,0.0,top
C10,10n,C_0805_2012Metric,117.8,-40.2,180.0,top
C11,4.7u,C_0805_2012Metric,83.6,-41.725,180.0,top
C12,1u,C_0805_2012Metric,83.6,-59.325,0.0,top
C13,2.2u,C_0603_1608Metric,88.6,-49.925,90.0,top
C14,2.2u,C_0603_1608Metric,76.2,-45.725,180.0,top
C15,4.7u,C_0805_2012Metric,79.61,-41.725,0.0,top
C16,10u,C_0805_2012Metric,84.45,-84.4,180.0,top
C17,10u,C_0805_2012Metric,75.3,-84.4,180.0,top
C18,10u,C_0805_2012Metric,76.45,-23.769,180.0,top
C19,10u,C_0805_2012Metric,86.05,-23.569,180.0,top
C2,10n,C_0805_2012Metric,137.0025,-45.28,0.0,top
C20,1u,C_0805_2012Metric,154.85,-45.6,180.0,top
C21,1u,C_0805_2012Metric,163.0,-48.2,180.0,top
C22,1u,C_0805_2012Metric,154.85,-42.2,180.0,top
C23,0.1u,C_0805_2012Metric,122.4,-35.05,-90.0,top
C24,0.1u,C_0805_2012Metric,113.8,-30.98,90.0,top
C25,0.1u,C_0805_2012Metric,107.925,-33.725,-90.0,top
C26,0.1u,C_0805_2012Metric,99.125,-29.725,90.0,top
C27,0.1u,C_0805_2012Metric,121.9,-40.2,180.0,top
C28,0.1u,C_0805_2012Metric,117.8,-48.8,180.0,top
C29,0.1u,C_0805_2012Metric,145.47,-39.82,0.0,top
C3,20n,C_0805_2012Metric,141.42,-39.82,180.0,top
C30,0.1u,C_0805_2012Metric,141.42,-48.22,180.0,top
C31,0.1u,C_0805_2012Metric,163.0,-39.8,0.0,top
C32,4.7n,C_0805_2012Metric,106.345,-77.42,180.0,top
C33,10p,C_0603_1608Metric,106.52,-68.35,180.0,top
C34,11u,C_0805_2012Metric,107.02,-53.92,-90.0,top
C35,23.7u,C_0805_2012Metric,100.62,-49.4575,90.0,top
C36,11u,C_0805_2012Metric,107.02,-49.4575,90.0,top
C37,115n,C_0805_2012Metric,104.08395,-62.12,-90.0,top
C38,11u,C_0805_2012Metric,97.62,-57.87,90.0,top
C39,1u,C_0805_2012Metric,114.64,-63.85,180.0,top
C4,220n,C_0805_2012Metric,107.925,-25.175,-90.0,top
C40,10n,C_0805_2012Metric,114.64,-57.45,0.0,top
C41,10n,C_0805_2012Metric,136.81,-66.555,0.0,top
C42,20n,C_0805_2012Metric,141.01,-57.555,180.0,top
C43,10n,C_0805_2012Metric,136.81,-63.238332,0.0,top
C44,1u,C_0805_2012Metric,154.45,-63.4,180.0,top
C45,1u,C_0805_2012Metric,162.8,-66.2,180.0,top
C46,1u,C_0805_2012Metric,154.45,-60.2,180.0,top
C47,0.1u,C_0805_2012Metric,162.8,-57.6,0.0,top
C48,0.1u,C_0805_2012Metric,123.6,-77.6,90.0,top
C49,0.1u,C_0805_2012Metric,114.4,-77.4,-90.0,top
C5,220n,C_0805_2012Metric,104.991667,-25.175,-90.0,top
C50,0.1u,C_0805_2012Metric,102.095,-68.62,0.0,top
C51,0.1u,C_0805_2012Metric,98.095,-77.42,180.0,top
C52,0.1u,C_0805_2012Metric,97.62,-53.67,90.0,top
C53,0.1u,C_0805_2012Metric,107.02,-57.87,-90.0,top
C54,0.1u,C_0805_2012Metric,119.04,-66.85,180.0,top
C55,0.1u,C_0805_2012Metric,123.04,-57.45,180.0,top
C56,0.1u,C_0805_2012Metric,145.01,-57.555,180.0,top
C57,0.1u,C_0805_2012Metric,141.06,-66.555,180.0,top
